iso_country_code;VAT_number;valid;company_name;legal_address
ES;ESA41742154;false;no identification available;no address available
DE;DE831698757;false;no identification available;no address available
DE;DE125797456;true;no identification available;no address available
GB;GB647592107;true;AETC LIMITED;VICTORIA AVENUE, YEADON, LEEDS, , , LS19 7AY
ES;ESB28772283;true;no identification available;no address available
HU;HU26951683;true;AUTOLIV B.V. & CO. KG;25337 ELMSHORN OTTO-HAHN STRASSE 4.
BE;BE0417289347;true;NV BILFINGER ROB;BOEREVELDSEWEG 4, 2070 ZWIJNDRECHT
RO;RO18599655;true;CHIMSPORT AUTOMOTIVE S.A.;MUN. ORĂŞTIE, STR. NICOLAE TITULESCU Nr. 60
BE;BE0476081146;false;no identification available;no address available
DE;DE813682847;true;no identification available;no address available
DE;DE304550008;true;no identification available;no address available
DE;DE127474680;true;no identification available;no address available
BE;BE0404000446;true;NV ALTRAD BALLIAUW MULTISERVICES;AVEN ACKERS(VER) 10, 9130 BEVEREN
ES;ESA46134359;true;no identification available;no address available
IT;IT00924450679;true;ARDAGH GROUP ITALY SRL A SOCIO UNICO;ZONA IND LE FRAZIONE TRINITA' , 64046 MONTORIO AL VOMANO TE
GB;GB683457403;true;ACUMEN OXFORD LTD !! ACUMEN CONSULTANCY AND TRAINING;7-9 UNION STREET, STRATFORD-UPON-AVON, WARWICKSHIRE, , , CV37 6QT
BE;BE0419290121;true;SA BELAIRBUS;DRÈVE RICHELLE 161/45/building1, 1410 WATERLOO
DE;DE220785254;true;no identification available;no address available
PL;PL5861044266;true;ARDAGH METAL PACKAGING POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ;KĄTY 3, 32-107 RADZIEMICE
HR;HR48351740621;true;AD PLASTIK D.D.;MATOŠEVA ULICA 8, SOLIN, 21210 SOLIN
GB;GB405266178;true;IMI KYNOCH LIMITED;TAX DEPARTMENT, LAKESIDE, SOLIHULL PARKWAY, BIRMINGHAM BUSINESS PARK, BIRMINGHAM, B37 7XZ
GB;GB640632560;true;WESCO AIRCRAFT EUROPE LTD;PARK MILL WAY, CLAYTON WEST, HUDDERSFIELD, WEST YORKSHIRE, , HD8 9XJ
IT;IT00551340987;true;ASA ITALIA SOCIETA' A RESPONSABILITA' LIMITATA - SOCIETA' CO;VIA MONTE GRAPPA N 59 , 25038 ROVATO BS
BE;BE0403419634;true;NV ALGECO BELGIUM;SCHOEBROEKSTRAAT 34-36, 3583 BERINGEN
GB;GB629760313;true;ARCTIC TRADERS LTD;UNIT 1, TRIPP HILL FARM BUILDINGS, TRIPP HILL, FITTLEWORTH, , RH20 1ER
BE;BE0864542984;true;SA ALLNEX BELGIUM;SQUARE MARIE CURIE 11, 1070 ANDERLECHT
ES;ESB91972927;false;no identification available;no address available
